0,SAT2
1,SAT2
2,SAT2
3,UNSAT
4,SAT2
5,SAT2
6,SAT2
7,SAT2
8,SAT2
9,SAT2
10,SAT2
11,SAT2
12,SAT2
13,SAT2
14,SAT2
15,SAT2
16,SAT2
17,SAT2
18,SAT2
19,SAT2
20,SAT2
21,SAT2
22,SAT2
23,SAT2
24,SAT2
25,SAT2
26,SAT2
27,SAT2
28,SAT2
29,SAT2
30,SAT2
31,SAT2
32,SAT2
33,SAT2
34,SAT2
35,SAT2
36,SAT2
37,SAT2
38,SAT2
39,SAT2
40,SAT2
41,SAT2
42,SAT2
43,SAT2
44,SAT2
45,SAT2
46,SAT2
47,SAT2
48,SAT2
49,SAT2
50,SAT2
51,SAT2
52,SAT2
53,SAT2
54,SAT2
55,SAT2
56,SAT2
57,SAT2
58,SAT2
59,UNSAT
60,SAT2
61,SAT2
62,SAT2
63,SAT2
64,SAT2
65,SAT2
66,SAT2
67,SAT2
68,SAT2
69,SAT2
70,SAT2
71,SAT2
72,SAT2
73,SAT2
74,SAT2
75,SAT2
76,SAT2
77,SAT2
78,SAT2
79,SAT2
80,SAT2
81,SAT2
82,SAT2
83,SAT2
84,SAT2
85,SAT2
86,SAT2
87,UNSAT
88,SAT2
89,SAT2
90,SAT2
91,SAT2
92,SAT2
93,SAT2
94,SAT2
95,SAT2
96,SAT2
97,SAT2
98,SAT2
99,SAT2
